actual_ordinal,planned_ordinal,outer_round_or_repetition,block,block_position,case_id,sequence_id,sequence_position,configuration,configuration_pair_position,run_id,timestamp_started,planned_order_status,deviation_reason
46,46,R04,S,2,EVAL-MEMORY-01B,EVAL-MEMORY-01,B,CONFIG-OBID,1,S10_EVAL-MEMORY-01B_CONFIG-OBID_R04,2026-08-23T16:14:37.978Z,as_planned,
47,47,R04,S,2,EVAL-MEMORY-01C,EVAL-MEMORY-01,C,CONFIG-OBID,1,S10_EVAL-MEMORY-01C_CONFIG-OBID_R04,2026-08-23T16:14:45.157Z,as_planned,
48,48,R04,S,2,EVAL-MEMORY-01A,EVAL-MEMORY-01,A,CONFIG-BASELINE,2,S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R04,2026-08-23T16:14:53.234Z,as_planned,
49,49,R04,S,2,EVAL-MEMORY-01B,EVAL-MEMORY-01,B,CONFIG-BASELINE,2,S10_EVAL-MEMORY-01B_CONFIG-BASELINE_R04,2026-08-23T16:14:59.224Z,as_planned,
50,50,R04,S,2,EVAL-MEMORY-01C,EVAL-MEMORY-01,C,CONFIG-BASELINE,2,S10_EVAL-MEMORY-01C_CONFIG-BASELINE_R04,2026-08-23T16:15:05.485Z,as_planned,
51,51,R04,H,3,EVAL-HIGH-01,,,CONFIG-OBID,1,S10_EVAL-HIGH-01_CONFIG-OBID_R04,2026-08-23T16:15:11.827Z,as_planned,
52,52,R04,H,3,EVAL-HIGH-01,,,CONFIG-BASELINE,2,S10_EVAL-HIGH-01_CONFIG-BASELINE_R04,2026-08-23T16:15:19.993Z,as_planned,
53,53,R04,L,4,EVAL-LOW-01,,,CONFIG-BASELINE,1,S10_EVAL-LOW-01_CONFIG-BASELINE_R04,2026-08-23T16:15:26.565Z,as_planned,
54,54,R04,L,4,EVAL-LOW-01,,,CONFIG-OBID,2,S10_EVAL-LOW-01_CONFIG-OBID_R04,2026-08-23T16:15:32.802Z,as_planned,
55,55,R04,T,5,EVAL-THRESHOLD-01,,,CONFIG-OBID,1,S10_EVAL-THRESHOLD-01_CONFIG-OBID_R04,2026-08-23T16:15:41.103Z,as_planned,
56,56,R04,T,5,EVAL-THRESHOLD-01,,,CONFIG-BASELINE,2,S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R04,2026-08-23T16:15:50.040Z,as_planned,
57,57,R05,S,1,EVAL-MEMORY-01A,EVAL-MEMORY-01,A,CONFIG-BASELINE,1,S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R05,2026-08-23T16:15:57.359Z,as_planned,
58,58,R05,S,1,EVAL-MEMORY-01B,EVAL-MEMORY-01,B,CONFIG-BASELINE,1,S10_EVAL-MEMORY-01B_CONFIG-BASELINE_R05,2026-08-23T16:16:03.834Z,as_planned,
59,59,R05,S,1,EVAL-MEMORY-01C,EVAL-MEMORY-01,C,CONFIG-BASELINE,1,S10_EVAL-MEMORY-01C_CONFIG-BASELINE_R05,2026-08-23T16:16:10.038Z,as_planned,
60,60,R05,S,1,EVAL-MEMORY-01A,EVAL-MEMORY-01,A,CONFIG-OBID,2,S10_EVAL-MEMORY-01A_CONFIG-OBID_R05,2026-08-23T16:16:16.131Z,as_planned,
61,61,R05,S,1,EVAL-MEMORY-01B,EVAL-MEMORY-01,B,CONFIG-OBID,2,S10_EVAL-MEMORY-01B_CONFIG-OBID_R05,2026-08-23T16:16:24.625Z,as_planned,
62,62,R05,S,1,EVAL-MEMORY-01C,EVAL-MEMORY-01,C,CONFIG-OBID,2,S10_EVAL-MEMORY-01C_CONFIG-OBID_R05,2026-08-23T16:16:32.084Z,as_planned,
63,63,R05,H,2,EVAL-HIGH-01,,,CONFIG-BASELINE,1,S10_EVAL-HIGH-01_CONFIG-BASELINE_R05,2026-08-23T16:16:41.849Z,as_planned,
64,64,R05,H,2,EVAL-HIGH-01,,,CONFIG-OBID,2,S10_EVAL-HIGH-01_CONFIG-OBID_R05,2026-08-23T16:16:50.344Z,as_planned,
65,65,R05,L,3,EVAL-LOW-01,,,CONFIG-OBID,1,S10_EVAL-LOW-01_CONFIG-OBID_R05,2026-08-23T16:16:59.322Z,as_planned,
66,66,R05,L,3,EVAL-LOW-01,,,CONFIG-BASELINE,2,S10_EVAL-LOW-01_CONFIG-BASELINE_R05,2026-08-23T16:17:10.555Z,as_planned,
67,67,R05,T,4,EVAL-THRESHOLD-01,,,CONFIG-BASELINE,1,S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R05,2026-08-23T16:17:18.500Z,as_planned,
68,68,R05,T,4,EVAL-THRESHOLD-01,,,CONFIG-OBID,2,S10_EVAL-THRESHOLD-01_CONFIG-OBID_R05,2026-08-23T16:17:26.529Z,as_planned,
69,69,R05,M,5,EVAL-MALFORMED-01,,,CONFIG-OBID,1,S10_EVAL-MALFORMED-01_CONFIG-OBID_R05,2026-08-23T16:17:39.591Z,as_planned,
70,70,R05,M,5,EVAL-MALFORMED-01,,,CONFIG-BASELINE,2,S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R05,2026-08-23T16:17:45.635Z,as_planned,
71,71,R01,INVALID,1,EVAL-INVALID-ACTION-01,,,CONFIG-OBID,1,S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R01,2026-08-23T16:18:30.484Z,as_planned,
72,72,R02,INVALID,2,EVAL-INVALID-ACTION-01,,,CONFIG-OBID,1,S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R02,2026-08-23T16:18:36.516Z,as_planned,
73,73,R03,INVALID,3,EVAL-INVALID-ACTION-01,,,CONFIG-OBID,1,S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R03,2026-08-23T16:18:42.907Z,as_planned,
74,74,R04,INVALID,4,EVAL-INVALID-ACTION-01,,,CONFIG-OBID,1,S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R04,2026-08-23T16:18:48.221Z,as_planned,
75,75,R05,INVALID,5,EVAL-INVALID-ACTION-01,,,CONFIG-OBID,1,S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R05,2026-08-23T16:18:53.102Z,as_planned,
76,76,R01,HITL,1,EVAL-HITL-01A,,,CONFIG-OBID,1,S10_EVAL-HITL-01A_CONFIG-OBID_R01,2026-08-23T16:19:18.916Z,as_planned,
77,77,R01,HITL,2,EVAL-HITL-01B,,,CONFIG-OBID,1,S10_EVAL-HITL-01B_CONFIG-OBID_R01,2026-08-23T16:20:58.525Z,as_planned,
78,78,R02,HITL,3,EVAL-HITL-01B,,,CONFIG-OBID,1,S10_EVAL-HITL-01B_CONFIG-OBID_R02,2026-08-23T16:22:13.066Z,as_planned,
79,79,R02,HITL,4,EVAL-HITL-01A,,,CONFIG-OBID,1,S10_EVAL-HITL-01A_CONFIG-OBID_R02,2026-08-23T16:23:05.079Z,as_planned,
80,80,R03,HITL,5,EVAL-HITL-01A,,,CONFIG-OBID,1,S10_EVAL-HITL-01A_CONFIG-OBID_R03,2026-08-23T16:23:59.570Z,as_planned,
81,81,R03,HITL,6,EVAL-HITL-01B,,,CONFIG-OBID,1,S10_EVAL-HITL-01B_CONFIG-OBID_R03,2026-08-23T16:24:54.180Z,as_planned,
82,82,R04,HITL,7,EVAL-HITL-01B,,,CONFIG-OBID,1,S10_EVAL-HITL-01B_CONFIG-OBID_R04,2026-08-23T16:26:20.727Z,as_planned,
83,83,R04,HITL,8,EVAL-HITL-01A,,,CONFIG-OBID,1,S10_EVAL-HITL-01A_CONFIG-OBID_R04,2026-08-23T16:27:08.805Z,as_planned,
84,84,R05,HITL,9,EVAL-HITL-01A,,,CONFIG-OBID,1,S10_EVAL-HITL-01A_CONFIG-OBID_R05,2026-08-23T16:27:53.726Z,as_planned,
85,85,R05,HITL,10,EVAL-HITL-01B,,,CONFIG-OBID,1,S10_EVAL-HITL-01B_CONFIG-OBID_R05,2026-08-23T16:28:41.404Z,as_planned,
