run_id,case_id,configuration,raw_file,n8n_execution_id,linked_child_execution_ids
S10_EVAL-HIGH-01_CONFIG-OBID_R02,EVAL-HIGH-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,117,118|119
S10_EVAL-HIGH-01_CONFIG-BASELINE_R02,EVAL-HIGH-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,120,
S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R03,EVAL-THRESHOLD-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,121,
S10_EVAL-THRESHOLD-01_CONFIG-OBID_R03,EVAL-THRESHOLD-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,122,123|124
S10_EVAL-MALFORMED-01_CONFIG-OBID_R03,EVAL-MALFORMED-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,125,
S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R03,EVAL-MALFORMED-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,126,
S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R03,EVAL-MEMORY-01A,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,127,
S10_EVAL-MEMORY-01B_CONFIG-BASELINE_R03,EVAL-MEMORY-01B,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,128,
S10_EVAL-MEMORY-01C_CONFIG-BASELINE_R03,EVAL-MEMORY-01C,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,129,
S10_EVAL-MEMORY-01A_CONFIG-OBID_R03,EVAL-MEMORY-01A,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,130,131|132
S10_EVAL-MEMORY-01B_CONFIG-OBID_R03,EVAL-MEMORY-01B,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,133,
S10_EVAL-MEMORY-01C_CONFIG-OBID_R03,EVAL-MEMORY-01C,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,134,135
S10_EVAL-HIGH-01_CONFIG-BASELINE_R03,EVAL-HIGH-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,136,
S10_EVAL-HIGH-01_CONFIG-OBID_R03,EVAL-HIGH-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,137,138|139
S10_EVAL-LOW-01_CONFIG-OBID_R03,EVAL-LOW-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,140,141|142
S10_EVAL-LOW-01_CONFIG-BASELINE_R03,EVAL-LOW-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,143,
S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R04,EVAL-MALFORMED-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,144,
S10_EVAL-MALFORMED-01_CONFIG-OBID_R04,EVAL-MALFORMED-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,145,
S10_EVAL-MEMORY-01A_CONFIG-OBID_R04,EVAL-MEMORY-01A,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,146,147|148
S10_EVAL-MEMORY-01B_CONFIG-OBID_R04,EVAL-MEMORY-01B,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,149,
S10_EVAL-MEMORY-01C_CONFIG-OBID_R04,EVAL-MEMORY-01C,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,150,151
S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R04,EVAL-MEMORY-01A,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,152,
S10_EVAL-MEMORY-01B_CONFIG-BASELINE_R04,EVAL-MEMORY-01B,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,153,
S10_EVAL-MEMORY-01C_CONFIG-BASELINE_R04,EVAL-MEMORY-01C,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,154,
S10_EVAL-HIGH-01_CONFIG-OBID_R04,EVAL-HIGH-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,155,156|157
S10_EVAL-HIGH-01_CONFIG-BASELINE_R04,EVAL-HIGH-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,158,
S10_EVAL-LOW-01_CONFIG-BASELINE_R04,EVAL-LOW-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,159,
S10_EVAL-LOW-01_CONFIG-OBID_R04,EVAL-LOW-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,160,161|162
S10_EVAL-THRESHOLD-01_CONFIG-OBID_R04,EVAL-THRESHOLD-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,163,164|165
S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R04,EVAL-THRESHOLD-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,166,
S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R05,EVAL-MEMORY-01A,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,167,
S10_EVAL-MEMORY-01B_CONFIG-BASELINE_R05,EVAL-MEMORY-01B,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,168,
S10_EVAL-MEMORY-01C_CONFIG-BASELINE_R05,EVAL-MEMORY-01C,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,169,
S10_EVAL-MEMORY-01A_CONFIG-OBID_R05,EVAL-MEMORY-01A,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,170,171|172
S10_EVAL-MEMORY-01B_CONFIG-OBID_R05,EVAL-MEMORY-01B,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,173,
S10_EVAL-MEMORY-01C_CONFIG-OBID_R05,EVAL-MEMORY-01C,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,174,175
S10_EVAL-HIGH-01_CONFIG-BASELINE_R05,EVAL-HIGH-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,176,
S10_EVAL-HIGH-01_CONFIG-OBID_R05,EVAL-HIGH-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,177,178|179
S10_EVAL-LOW-01_CONFIG-OBID_R05,EVAL-LOW-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,180,181|182
S10_EVAL-LOW-01_CONFIG-BASELINE_R05,EVAL-LOW-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,183,
S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R05,EVAL-THRESHOLD-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,184,
S10_EVAL-THRESHOLD-01_CONFIG-OBID_R05,EVAL-THRESHOLD-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,185,186|187
S10_EVAL-MALFORMED-01_CONFIG-OBID_R05,EVAL-MALFORMED-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,188,
S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R05,EVAL-MALFORMED-01,CONFIG-BASELINE,evaluation/results/step-10/raw/run-records.jsonl,189,
S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R01,EVAL-INVALID-ACTION-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,190,191
S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R02,EVAL-INVALID-ACTION-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,192,193
S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R03,EVAL-INVALID-ACTION-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,194,195
S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R04,EVAL-INVALID-ACTION-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,196,197
S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R05,EVAL-INVALID-ACTION-01,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,198,199
S10_EVAL-HITL-01A_CONFIG-OBID_R01,EVAL-HITL-01A,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,200,201
S10_EVAL-HITL-01B_CONFIG-OBID_R01,EVAL-HITL-01B,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,202,203
S10_EVAL-HITL-01B_CONFIG-OBID_R02,EVAL-HITL-01B,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,204,205
S10_EVAL-HITL-01A_CONFIG-OBID_R02,EVAL-HITL-01A,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,206,207
S10_EVAL-HITL-01A_CONFIG-OBID_R03,EVAL-HITL-01A,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,208,209
S10_EVAL-HITL-01B_CONFIG-OBID_R03,EVAL-HITL-01B,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,210,211
S10_EVAL-HITL-01B_CONFIG-OBID_R04,EVAL-HITL-01B,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,212,213
S10_EVAL-HITL-01A_CONFIG-OBID_R04,EVAL-HITL-01A,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,214,215
S10_EVAL-HITL-01A_CONFIG-OBID_R05,EVAL-HITL-01A,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,216,217
S10_EVAL-HITL-01B_CONFIG-OBID_R05,EVAL-HITL-01B,CONFIG-OBID,evaluation/results/step-10/raw/run-records.jsonl,218,219
